X1,X2,Alignment
6.735816,-3.6381812,good
6.3070607,-3.3645983,neutral
0.19411725,-19.129396,bad
-3.2665522,-1.5871452,good
-1.3465272,-1.5853583,neutral
-6.332305,0.43321142,bad
12.769416,19.254566,bad
-1.5280752,-8.380556,good
12.182302,7.1396556,good
3.3631558,12.336946,bad
-16.458376,-15.520784,bad
2.7378142,11.628435,good
2.525643,12.157498,good
-2.8010128,-17.216757,good
15.141475,24.303207,bad
11.493345,0.8007631,bad
16.98469,22.46365,bad
4.1334033,11.950323,good
16.637712,18.975828,bad
-5.3857913,5.0808167,good
5.0111046,-9.505364,bad
-3.6211061,-16.851784,good
-0.96027553,-16.007486,bad
-0.06294369,-5.3676977,good
6.9206457,11.055324,good
4.865952,-0.68069017,bad
5.0243745,19.868597,bad
-12.535483,-8.47458,good
16.541338,23.065395,bad
16.219475,21.587152,bad
-12.095107,-7.3499203,good
13.226203,11.177662,good
2.8681033,-14.4657345,good
2.7920191,5.7136927,good
5.9835067,-9.74521,good
8.724236,2.318554,good
10.818795,-10.9015255,good
10.639274,-10.217689,good
10.470146,-9.571923,good
10.837172,-11.552216,good
-20.872864,-10.520723,good
-17.582066,-13.980278,good
-2.1374562,5.554634,bad
17.54404,21.723318,neutral
-3.0878086,-17.571892,good
-4.1741376,-22.037926,good
18.6604,21.757591,bad
4.0152493,2.454371,good
13.350998,6.889019,bad
-5.285156,-17.537569,bad
-1.6587119,0.70290595,bad
14.917286,20.566658,good
-0.08517432,-12.518273,good
-20.187048,-5.8053536,good
-9.104685,0.5691062,bad
-8.946181,1.1967069,bad
8.344943,21.894197,good
5.8092623,21.92528,good
8.162655,19.995422,good
12.028421,16.275078,good
-22.723732,-5.863183,bad
2.5721655,-7.798263,good
-4.0493326,5.194489,good
-17.347448,-10.551568,good
-17.823868,-12.152304,good
7.6350923,-1.3139613,good
-2.7104356,5.9775586,good
-15.156179,-9.184476,good
13.004402,14.273486,good
-14.840531,-13.947286,good
-8.423087,-17.210186,good
15.2748,8.573527,good
6.59583,-8.725327,good
-19.606451,-7.9669366,good
3.5291529,7.7887783,good
2.2965658,-5.4392576,bad
13.14292,16.272945,good
8.30532,-0.24429123,good
10.250685,-10.596679,good
0.08993119,-14.054105,good
3.1347044,-7.160673,good
-6.0936303,-8.963099,good
13.068562,23.4367,good
8.602113,9.973371,bad
-2.6708279,2.516574,good
12.504832,-10.028757,good
11.301523,0.41055664,good
14.260475,23.787693,good
-5.1226926,-15.20945,good
-5.1839314,5.521681,good
-24.363573,-10.077532,good
6.1932592,21.772718,good
-5.2163553,-16.375141,good
-25.468782,-4.1879425,bad
-18.293055,-7.985463,good
-2.6778777,-19.237913,good
13.8919,13.215109,neutral
3.4880886,-1.8334721,bad
1.3088789,-6.418813,good
6.107142,6.7342453,bad
1.6388953,-24.646015,bad
-14.8628645,-14.050605,good
